t1	5:3	ooooo : ooox-
t1	7:6	ooooooo : oooooox
t1	16:15	oooxooooooooooooo : ooxooooooooooooox
t1	3:1	ooo-- : xoxx-
t1	6:5	oooooo : ooooox
t1	4:2	oooo- : xxoo-
t1	4:2	oooo- : ooxx-
t1	4:2	oooo- : ooxx-
t2	2:4	oxox- : oooo-
t2	3:4	oxoxo : xoooo
t2	4:5	ooxoo : ooooo
t1	4:2	oooo- : oxxo-
t2	5:6	ooooox : oooooo
t1	4:2	oooo- : xoxo-
t1	4:2	oooo- : xoxo-
t2	4:5	xoooo : ooooo
t2	3:4	oxoox : oooo-
t2	10:11	oooooooooox : ooooooooooo
t1	6:5	oooxooo : ooooxox
t1	5:3	ooooo : xooo-
t2	7:8	ooooooox : oooooooo
t2	11:12	ooooooooooox : oooooooooooo
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : xooo-
t1	5:3	ooooo : xooo-
t2	4:5	oooxox : xooooo
t2	4:5	xoooo : ooooo
t2	7:8	ooooooox : oooooooo
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : ooox-
t1	13:12	ooooooooooooo : oooooooooooox
t1	6:5	ooxoooo : ooxooox
t1	8:7	oooooooo : ooooooox
t2	3:4	ooxox : oooo-
t2	2:4	xoox- : oooo-
t1	5:3	ooooo : oxoo-
t1	4:3	oxooo : xooox
t1	3:0	ooo-- : xxx--
t2	4:5	oooxo : ooooo
t2	4:5	oooxo : ooooo
t1	6:5	oooooo : ooooox
t1	3:1	ooo-- : xxox-
t2	5:6	ooooox : oooooo
t1	5:4	oooxoo : ooxoox
t1	4:2	oooo- : ooxx-
t2	2:4	ooxx- : oooo-
t2	21:22	ooooooooooooooooooooox : oooooooooooooooooooooo
t2	5:6	ooooox : oooooo
t1	5:3	ooooo : ooox-
t1	5:3	ooooo : ooxo-
t2	4:5	oooxo : ooooo
t2	5:6	ooooox : oooooo
t1	9:8	ooooooooo : oooooooox
t2	4:5	oooxo : ooooo
t1	5:3	ooooo : ooox-
t2	5:6	ooooox : oooooo
t2	4:5	oooxo : ooooo
t1	3:1	ooo-- : xxox-
t2	4:5	xoooo : ooooo
t1	5:4	ooooo : oooox
t1	5:3	ooooo : ooxo-
t1	5:3	ooooo : oxoo-
t1	5:3	ooooo : oxoo-
t2	4:5	xoooo : ooooo
t1	4:2	oooo- : xoxo-
t2	5:6	ooooox : oooooo
t1	5:3	ooooo : xooo-
t2	9:10	ooxooooooox : ooxoooooooo
t1	5:3	ooooo : ooox-
t2	4:5	oooxo : ooooo
t2	2:4	oxox- : oooo-
t1	5:3	ooooo : ooox-
t2	4:5	xoooo : ooooo
t2	3:4	xooox : oooo-
t2	17:18	ooooooooooooooooox : oooooooooooooooooo
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : xooo-
t2	7:8	ooooooox : oooooooo
t2	5:6	oxoooox : ooxoooo
t1	4:2	oooo- : oxxo-
t1	5:3	ooooo : oxoo-
t2	5:6	ooooox : oooooo
t2	1:4	xox-- : oooo-
t2	4:5	oxooo : ooooo
t2	0:3	xxx-- : ooo--
t1	5:3	ooooo : ooxo-
t1	5:4	ooooo : oooox
t2	2:4	ooxx- : oooo-
t1	6:5	xoooooo : ooooxox
t2	2:4	oxox- : oooo-
t2	2:4	oxox- : oooo-
t2	4:5	xoooo : ooooo
t2	11:12	ooooooooooox : oooooooooooo
t2	9:10	xooooooooox : ooxoooooooo
t1	6:5	oooooo : ooooox
t1	5:3	ooooo : ooxo-
t2	4:5	oooox : ooooo
t1	12:11	oooooooooooo : ooooooooooox
t1	5:3	ooooo : ooxo-
t2	4:5	oxooo : ooooo
t2	2:4	oxox- : oooo-
t1	5:3	ooooo : xooo-
t1	7:6	ooooooo : oooooox
t2	4:5	oxooo : ooooo
t2	2:4	oxox- : oooo-
t1	7:6	ooooooo : oooooox
t2	1:4	xxo-- : oooo-
t2	4:5	oxooo : ooooo
t1	4:3	oxooo : oxoox
t2	5:6	ooooox : oooooo
t1	5:3	ooooo : oxoo-
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : xooo-
t1	5:3	ooooo : ooox-
t2	6:7	oxooxoxoox : oxooxoxooo
t2	3:4	oxoox : oxooo
t1	7:6	ooooooo : oooooox
t2	8:9	oooooooox : ooooooooo
t2	4:5	oooxo : ooooo
t2	4:5	oooox : ooooo
t2	4:5	oxooo : ooooo
t1	3:1	xooo- : xxxo-
t1	5:3	ooooo : ooxo-
t1	5:3	ooooo : ooxo-
t1	5:3	ooooo : ooox-
t2	0:3	xxx-- : ooo--
t2	4:5	ooxoo : ooooo
t1	8:7	oooooooo : ooooooox
t2	4:5	oooox : ooooo
t2	2:3	oxxox : ooxo-
t2	3:4	ooxox : oooo-
t1	6:5	oooooo : ooooox
t2	4:5	ooxoo : ooooo
t2	4:5	oooox : ooooo
t2	1:4	xxo-- : oooo-
t1	5:3	ooooo : xooo-
t1	5:3	ooooo : xooo-
t2	9:10	xooooooooox : ooooxoooooo
t1	4:2	oooo- : xoxo-
t1	13:12	ooooooooooooo : oooooooooooox
t2	7:8	ooooooox : oooooooo
t1	4:2	oooo- : ooxx-
t2	4:5	oooxo : ooooo
t1	6:5	oooxooo : ooxooox
t2	5:6	ooooox : oooooo
t2	3:4	oxoox : oooo-
t1	5:3	ooooo : ooxo-
t1	13:12	ooooooooooooo : oooooooooooox
t1	4:2	oooo- : oxxo-
t1	5:3	ooooo : ooox-
t2	5:6	ooooox : oooooo
t1	3:1	ooo-- : xoxx-
t1	5:3	ooooo : ooxo-
t1	5:3	ooooo : ooxo-
t2	3:4	oxoox : oooo-
t2	9:10	ooooooooox : oooooooooo
t1	7:6	ooooooo : oooooox
t1	5:3	ooooo : xooo-
t2	1:4	xxo-- : oooo-
t2	1:4	xxo-- : oooo-
t2	4:5	ooxoo : ooooo
t2	4:5	oooxo : ooooo
t2	21:22	ooooooooooooooooooooox : oooooooooooooooooooooo
t1	5:3	ooooo : ooxo-
t1	5:3	ooooo : ooxo-
t1	13:12	ooooooooooooo : oooooooooooox
t1	4:2	oooo- : xoxo-
t1	5:3	ooooo : oxoo-
t2	4:5	oooxo : ooooo
t2	7:8	ooooooox : oooooooo
t1	5:4	ooooo : oooox
t2	6:7	oooxooox : ooxooooo
t2	3:4	xooox : oooo-
t2	2:4	xoox- : oooo-
t1	5:3	ooooo : ooxo-
t2	4:5	xoooox : ooooxo
t2	1:4	xxo-- : oooo-
t1	3:1	ooo-- : oxxx-
t1	7:6	ooooooo : oooooox
t1	5:3	ooooo : xooo-
t2	5:6	ooooox : oooooo
t1	5:3	ooooo : ooxo-
t2	1:4	xox-- : oooo-
t1	5:3	ooooo : ooxo-
t2	9:10	ooooooooox : oooooooooo
t1	4:2	oooo- : oxxo-
t2	2:4	oxox- : oooo-
t1	10:9	oooooooooo : ooooooooox
t2	3:4	oooxx : oooo-
t1	5:3	ooooo : oxoo-
t2	2:4	ooxx- : oooo-
t1	3:1	ooo-- : oxxx-
t1	5:4	oooxoo : ooooxx
t2	7:8	ooooooox : oooooooo
t1	5:4	oxoooo : ooooxx
t1	4:2	oooo- : xoxo-
t1	5:3	ooooo : ooxo-
t1	6:5	oooooo : ooooox
t1	7:6	ooooooo : oooooox
t2	9:10	ooooooooox : oooooooooo
t2	4:5	xoooo : ooooo
t2	14:15	xoooooooooooooox : xooooooooooooooo
t1	9:8	ooooooooo : oooooooox
t1	11:10	ooooooooooo : oooooooooox
t2	4:5	xoooo : ooooo
t1	5:3	ooooo : xooo-
t2	4:5	oooxo : ooooo
t2	4:5	oxooo : ooooo
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : oxoo-
t2	0:3	xxx-- : ooo--
t1	5:3	ooooo : xooo-
t2	4:5	oooxo : ooooo
t2	4:5	xoooo : ooooo
t1	5:3	ooooo : oxoo-
t2	3:4	ooxox : oooo-
t1	7:6	ooooooo : oooooox
t1	5:4	ooooo : oooox
t1	5:3	ooooo : ooox-
t2	4:5	xoooo : ooooo
t1	5:3	ooooo : oxoo-
t2	3:4	oxoox : oooo-
t2	4:5	oooxo : ooooo
t2	4:5	ooxoo : ooooo
t2	4:5	oxooo : ooooo
t1	9:8	ooooooooo : oooooooox
t2	4:5	oxooo : ooooo
t2	4:5	oooxo : ooooo
t2	4:5	ooxoox : ooooxo
t2	4:5	oooxo : ooooo
t2	2:4	ooxx- : oooo-
t2	4:5	oxooo : ooooo
t2	3:4	oxoox : oooo-
t1	5:3	ooooo : ooox-
t1	5:3	ooooo : oxoo-
t2	2:4	oxox- : oooo-
t1	6:5	oooooo : ooooox
t1	6:5	oooxooo : xooooox
t1	4:2	oooo- : oxxo-
t1	5:3	ooooo : ooox-
t1	5:3	ooooo : ooox-
t2	4:5	ooxoo : ooooo
t2	13:14	ooooooooooooox : oooooooooooooo
t1	5:3	ooooo : oxoo-
t2	3:4	oooxx : oooo-
t1	4:2	oooo- : oxox-
t2	1:4	oxx-- : oooo-
t2	4:5	xoooo : ooooo
t2	4:5	oooxo : ooooo
t2	3:4	xooxo : oxooo
t1	5:3	ooooo : ooxo-
t1	5:3	ooooo : ooxo-
t2	3:4	oooxx : oooo-
t1	15:14	ooooooooooooooo : oooooooooooooox
t2	4:5	oooxox : ooooxo
t1	5:3	ooooo : xooo-
t2	9:10	ooooooooox : oooooooooo
t1	5:3	ooooo : xooo-
t1	5:3	ooooo : ooxo-
t1	5:3	ooooo : oxoo-
t1	10:9	ooxoooooooo : ooxooooooox
t2	12:13	oooooooooooox : ooooooooooooo
t1	5:3	ooooo : oxoo-
t2	2:4	xoox- : oooo-
t1	5:3	ooooo : oxoo-
t2	14:15	oooooooooooooox : ooooooooooooooo
t1	12:11	oooxooooooooo : xooooooooooox
t1	5:3	ooooo : oxoo-
t1	5:4	ooooo : oooox
t2	3:4	oooxx : oooxo
t1	3:0	ooo-- : xxx--
t2	6:7	oooxooox : ooxooooo
t2	9:10	ooooooooox : oooooooooo
t2	4:5	oooxo : ooooo
t1	5:4	ooooo : oooox
t2	4:5	oxooo : ooooo
t2	4:5	oooox : ooooo
t1	5:3	ooooo : ooox-
t2	4:5	oxooo : ooooo
t1	3:1	ooo-- : xoxx-
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : xooo-
t1	5:3	ooooo : ooxo-
t1	3:1	xooo- : xxox-
t2	0:3	xxx-- : ooo--
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : xooo-
t2	5:6	ooooox : oooooo
t1	4:3	oooxo : xooox
t1	7:6	ooooooo : oooooox
t2	2:4	oxox- : oooo-
t2	4:5	oxooo : ooooo
t2	3:4	oooxx : oooo-
t2	3:4	xooxo : ooxoo
t1	7:6	ooooooo : oooooox
t2	4:5	oooxo : ooooo
t1	5:3	ooooo : ooox-
t2	4:5	oxooo : ooooo
t1	5:3	ooooo : ooox-
t2	3:4	oooxx : oooo-
t2	4:5	oooox : ooooo
t2	5:6	ooooox : oooooo
t2	5:6	ooooox : oooooo
t1	4:2	oxooo : ooxx-
t2	4:5	oooxox : oooxoo
